date,ADPT,ASLP,ASTP,AWBT,AWND,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYHF,DYNT,DYSD,DYSN,DYTS,DYXP,DYXT,EMNT,EMSD,EMSN
2010-01-01,-7.69,1014.7,1013.8,-2.39,13.4,0,0,7,2,0,0,0,0,25,9,0,0,8,1,20100130,20100108,20100128,,,,,,
2010-02-01,-6.25,1008.2,1007.4,-1.75,14.1,0,0,11,7,3,17,5,0,23,1,0,0,11,3,20100207,20100226,20100210,,,,,,
2010-03-01,0.17,1011.6,1010.7,4.96,13.6,0,0,13,9,4,2,0,0,2,0,1,0,11,1,20100327,20100301,20100305,,,,,,
2010-04-01,3.18,1012.9,1012,8.35,11,4,4,8,4,1,0,0,0,0,0,7,0,10,2,20100428,20100430,20100430,,,,,,
2010-05-01,9.37,1016,1015,13.12,10.3,71,67,7,3,0,0,0,0,0,0,22,1,10,2,20100510,20100531,20100531,,,,,,
2010-06-01,15.21,1012.5,1011.6,18.42,10.3,361,290,7,2,0,0,0,0,0,0,29,8,11,2,20100609,20100630,20100630,,,,,,
2010-07-01,17.65,1014.2,1013.3,20.93,9.8,849,488,6,4,0,0,0,0,0,0,31,13,8,,20100702,20100731,20100731,6,,,,,
2010-08-01,16.82,1015.4,1014.5,19.74,9.4,1197,348,7,5,1,0,0,0,0,0,31,8,4,,20100828,20100831,20100831,2,,,,,
2010-09-01,13.72,1014.8,1014,16.93,11.4,1370,173,8,8,1,0,0,0,0,0,29,2,10,,20100921,20100930,20100930,5,,,,,
2010-10-01,6.72,1012.2,1011.3,10.81,12.1,1371,1,11,5,1,0,0,0,0,0,8,0,9,2,20101031,20101031,20101031,,,,,,
2010-11-01,0.57,1018.9,1017.9,5.34,11.9,1371,0,9,3,0,0,0,0,1,0,0,0,6,,20101129,20101130,20101125,1,,,,,
2010-12-01,-7.38,1011.4,1010.4,-1.95,15,1371,0,5,4,1,5,2,0,26,6,0,0,4,2,20101214,20101227,20101226,,,,,,
2011-01-01,-7.96,1015.1,1014.1,-3.38,11,0,0,12,7,1,20,5,0,28,10,0,0,11,4,20110124,20110127,20110126,,,,,,
2011-02-01,-6.79,1016.1,1015.3,-1,13.6,0,0,10,8,1,14,1,0,22,2,0,0,9,1,20110209,20110201,20110221,,,,,,
2011-03-01,-3.69,1020.2,1019.4,2.03,13.9,0,0,9,7,1,2,0,0,12,0,1,0,10,,20110303,20110324,20110323,1,,,,,
2011-04-01,4.66,1014.1,1013.2,8.07,12.5,0,0,12,7,1,0,0,0,0,0,3,0,10,7,20110401,20110430,20110401,,,,,,
2011-05-01,11.56,1015.1,1014.2,14.01,9.8,56,56,9,5,1,0,0,0,0,0,16,0,16,5,20110506,20110531,20110531,,,,,,
2011-06-01,14.83,1012.9,1012.1,17.83,9.4,274,218,9,4,0,0,0,0,0,0,28,1,14,2,20110615,20110630,20110630,,,,,,
2011-07-01,18.08,1013,1012.2,21.04,9.2,733,459,8,5,1,0,0,0,0,0,31,10,8,1,20110701,20110731,20110731,,,,,,
2011-08-01,17.18,1011.6,1010.7,19.83,9.8,1058,324,12,10,4,0,0,0,0,0,31,2,11,,20110829,20110831,20110831,7,,,,,
2011-09-01,16.28,1016.9,1016.1,18.07,8.7,1222,164,10,6,2,0,0,0,0,0,25,0,14,4,20110916,20110930,20110930,,,,,,
2011-10-01,6.96,1015.6,1014.7,10.68,11,1240,18,10,5,2,1,1,0,1,0,7,0,1,1,20111031,20111030,20111029,,,,,,
2011-11-01,4.53,1019.6,1018.7,7.85,10.3,1240,0,7,5,1,0,0,0,0,0,0,0,7,1,20111106,20111130,20111130,,,,,,
2011-12-01,-1.01,1021.5,1020.5,3.47,10.7,1240,0,8,6,0,0,0,0,12,1,0,0,5,1,20111219,20111231,20111231,,,,,,
2012-01-01,-5.11,1016.9,1016,0.26,13.4,0,0,8,7,0,2,1,0,16,3,0,0,5,1,20120104,20120122,20120121,,,,,,
2012-02-01,-4.14,1017.5,1016.6,1.43,12.1,0,0,10,4,0,0,0,0,12,0,0,0,6,,20120212,20120211,20120211,,20120229,,,,
2012-03-01,1.12,1019.6,1018.7,5.83,11.4,0,0,11,5,0,0,0,0,4,0,2,0,7,6,20120306,20120331,20120331,,,,,,
2012-04-01,0.18,1012.3,1011.5,7.12,12.8,5,5,6,5,1,0,0,0,0,0,4,0,6,1,20120406,20120430,20120430,,,,,,
2012-05-01,12.08,1016.6,1015.7,14.57,8.7,67,61,17,11,2,0,0,0,0,0,17,0,9,5,20120512,20120531,20120531,,,,,,
2012-06-01,14.63,1013.8,1013,17.44,10.1,261,194,12,8,3,0,0,0,0,0,26,5,5,,20120605,20120630,20120630,6,,,,,
2012-07-01,18.15,1013.9,1013,20.83,9.2,676,415,8,4,0,0,0,0,0,0,31,8,1,,20120721,20120731,20120731,6,,,,,
2012-08-01,18.53,1015.7,1014.8,20.82,8.7,1040,364,8,7,1,0,0,0,0,0,31,2,5,1,20120830,20120831,20120831,,,,,,
2012-09-01,14.26,1017.1,1016.2,16.94,10.3,1179,139,10,7,1,0,0,0,0,0,28,1,6,,20120924,20120930,20120930,2,,,,,
2012-10-01,9.48,1014.5,1013.7,12.27,11,1196,16,12,7,0,0,0,0,0,0,9,0,10,4,20121013,20121031,20121031,,,,,,
2012-11-01,-0.58,1021.4,1020.4,3.59,11.2,1196,0,6,2,0,2,1,0,3,0,0,0,6,1,20121106,20121108,20121107,,,,,,
2012-12-01,0.16,1016.3,1015.4,3.47,11.9,1196,0,16,11,0,0,0,0,12,0,0,0,13,3,20121231,20121231,20121229,,,,,,
2013-01-01,-5.33,1020.7,1019.6,-0.43,12.1,0,0,12,5,0,1,0,0,19,5,0,0,4,4,20130123,20130126,20130125,,,,,,
2013-02-01,-5.83,1015.7,1014.9,-1.07,13.2,0,0,12,7,0,5,2,0,22,5,0,0,9,1,20130210,20130209,20130209,,,,,,
2013-03-01,-4.06,1013.6,1012.8,1.13,13.9,0,0,8,6,0,2,2,0,15,0,0,0,5,,20130318,20130309,20130308,,20130312,,,,
2013-04-01,1.42,1020.7,1019.8,6.47,12.3,0,0,7,3,0,0,0,0,1,0,3,0,2,,20130404,20130430,20130430,,20130412,,,,
2013-05-01,9.26,1018.4,1017.6,12.18,10.5,24,24,11,6,1,0,0,0,0,0,14,0,5,,20130514,20130531,20130531,,20130508,,,,
2013-06-01,15.67,1013.5,1012.6,17.89,11,196,173,15,10,2,0,0,0,0,0,27,2,6,,20130614,20130630,20130630,,20130607,,,,
2013-07-01,19.93,1017,1016.1,22.02,9.8,645,449,10,4,0,0,0,0,0,0,31,7,4,,20130725,20130731,20130731,2,,,,,
2013-08-01,16.45,1017,1016.1,19.08,9.6,936,291,8,4,0,0,0,0,0,0,31,0,8,,20130815,20130831,20130831,,20130813,,,,
2013-09-01,12.04,1016.9,1016,15.31,9.8,1048,111,7,3,1,0,0,0,0,0,27,0,3,,20130924,20130930,20130930,,20130922,,,,
2013-10-01,,,,,10.5,1084,36,4,1,0,0,0,0,0,0,10,0,2,,20131025,20131031,20131031,,20131007,20131002,39,0,0
2013-11-01,-1.39,1021.9,1020.9,3.98,12.8,1084,0,9,4,1,0,0,0,10,1,0,0,6,,20131125,20131130,20131112,,20131127,,,,
2013-12-01,-2.45,1019.9,1018.9,1.42,11,1084,0,11,9,1,1,2,0,19,3,0,0,5,,20131225,20131211,20131214,,20131229,,,,
2014-01-01,-8.44,1017.4,1016.3,-3.54,13,0,0,12,9,0,13,4,0,26,11,0,0,,,20140104,20140123,20140121,,20140111,20140111,,,
2014-02-01,-7.62,1017.9,1016.9,-2.61,11.4,0,0,12,9,3,19,7,0,24,10,0,0,5,,20140228,20140218,20140203,,20140213,,,,
2014-03-01,-6.83,1016.6,1015.8,-0.24,13.4,0,0,7,5,1,1,0,0,19,2,0,0,5,,20140304,20140303,20140303,,20140329,,,,
2014-04-01,1.49,1017.8,1016.9,6.28,13.2,0,0,10,6,1,0,0,0,1,0,0,0,4,,20140416,20140430,20140415,,20140430,,,,
2014-05-01,8.85,1016.4,1015.4,12.7,10.5,30,30,12,7,1,0,0,0,0,0,16,0,6,,20140503,20140531,20140531,,20140516,,,,
2014-06-01,14.62,1015.9,1015.1,17.58,9.4,229,199,7,3,0,0,0,0,0,0,29,1,6,,20140601,20140630,20140630,,20140613,,,,
2014-07-01,16.88,1015.1,1014.2,19.55,10.7,554,324,13,6,2,0,0,0,0,0,31,0,1,,20140730,20140731,20140731,4,,,,,
2014-08-01,15.74,1016.7,1015.9,18.71,8.7,834,281,7,6,1,0,0,0,0,0,31,0,6,,20140824,20140831,20140831,,20140813,,,,
2014-09-01,14.08,1019.4,1018.6,16.93,8.9,996,162,7,5,0,0,0,0,0,0,26,1,7,,20140923,20140930,20140930,1,,,,,
2014-10-01,8.75,1013.8,1012.9,12.04,12.1,1017,21,12,5,1,0,0,0,0,0,11,0,8,,20141020,20141031,20141031,1,,,,,
2014-11-01,-1.03,1017.4,1016.4,4.01,12.3,1017,0,8,6,3,0,0,0,9,0,0,0,8,2,20141119,20141130,20141126,,,,,,
2014-12-01,-1.24,1020.1,1019.1,2.74,11.9,1017,0,15,8,3,0,0,0,7,0,0,0,12,2,20141208,20141211,20141210,,,,,,
2015-01-01,-9,1019.9,1019,-3.12,13.6,0,0,11,7,1,9,5,0,26,8,0,0,9,2,20150108,20150128,20150127,,,,,,
2015-02-01,,,,,13.2,0,0,8,5,1,28,3,0,28,14,0,0,5,1,20150220,20150204,20150221,,20150202,20150222,3,8,
2015-03-01,-5.82,1019.4,1018.8,0.2,11.9,0,0,15,10,1,11,4,0,19,1,0,0,12,3,20150306,20150306,20150305,,,,,,
2015-04-01,1.2,1015.7,1014.8,6.85,12.5,0,0,9,5,0,0,0,0,0,0,4,0,8,4,20150402,20150430,20150430,,,,,,
2015-05-01,10.22,1020.6,1019.7,13.67,9.8,58,58,4,1,0,0,0,0,0,0,23,0,12,8,20150502,20150531,20150531,,,,,,
2015-06-01,14.93,1015.1,1014.3,17.49,10.3,276,218,12,9,2,0,0,0,0,0,25,1,10,,20150602,20150630,20150630,2,,,,,
2015-07-01,17.44,1013.2,1012.3,20.43,9.4,691,415,9,5,0,0,0,0,0,0,31,3,8,1,20150703,20150731,20150731,,,,,,
2015-08-01,16.7,1015.5,1014.6,20,9.6,1109,419,4,2,2,0,0,0,0,0,31,6,2,,20150828,20150831,20150831,3,,,,,
2015-09-01,15.86,1018.6,1017.8,18.54,9.2,1350,241,8,4,1,0,0,0,0,0,30,2,9,1,20150927,20150930,20150930,,,,,,
2015-10-01,6.39,1019.4,1018.5,10.41,11.6,1356,6,7,4,2,0,0,0,0,0,12,0,5,,20151019,20151031,20151031,1,,,,,
2015-11-01,4.13,1022.7,1021.8,8.26,10.1,1360,4,6,2,0,0,0,0,2,0,3,0,11,2,20151124,20151130,20151130,,,,,,
2015-12-01,5.05,1019.6,1018.7,7.92,9.8,1360,0,17,9,2,0,0,0,0,0,1,0,20,9,20151229,20151231,20151228,,,,,,
2016-01-01,-6.86,1016.1,1015.2,-1.01,13,0,0,6,3,2,10,1,0,23,5,0,0,4,2,20160105,20160124,20160123,,,,,,
2016-02-01,-4.56,1016.7,1015.8,0.5,13.6,0,0,12,7,1,7,3,0,15,4,0,0,10,4,20160214,20160206,20160205,,,,,,
2016-03-01,-0.07,1017.2,1016.4,4.91,12.1,0,0,8,4,0,2,1,0,5,0,2,0,12,,20160303,20160321,20160304,1,,,,,
2016-04-01,1.19,1017.2,1016.3,6.43,12.1,0,0,11,5,0,0,0,0,4,0,4,0,10,1,20160405,20160430,20160409,,,,,,
2016-05-01,9.01,1015.3,1014.4,12.17,9.6,49,49,13,8,1,0,0,0,0,0,15,0,15,2,20160516,20160531,20160531,,,,,,
2016-06-01,13.02,1013.8,1012.9,16.93,10.7,259,210,6,3,0,0,0,0,0,0,29,1,9,3,20160608,20160630,20160630,,,,,,
2016-07-01,18.7,1014.6,1013.7,21.2,10.5,679,420,13,10,1,0,0,0,0,0,31,7,14,,20160712,20160731,20160731,7,,,,,
2016-08-01,19.72,1017.4,1016.6,21.94,9.8,1111,431,9,2,0,0,0,0,0,0,31,6,,,20160823,20160831,20160831,4,20160821,,,,
2016-09-01,15.15,1019.2,1018.3,17.82,10.5,1309,198,9,7,0,0,0,0,0,0,28,1,10,1,20160926,20160930,20160930,,,,,,
2016-10-01,8.55,1019.7,1018.8,11.68,10.5,1327,18,8,6,0,0,0,0,0,0,12,0,14,2,20161029,20161031,20161031,,,,,,
2016-11-01,1.67,1017.7,1016.8,6.51,12.1,1327,0,6,4,2,0,0,0,0,0,1,0,7,1,20161123,20161130,20161122,,,,,,
2016-12-01,-4.43,1020.1,1019.1,1.24,13,1327,0,10,6,0,1,1,0,12,1,0,0,11,4,20161216,20161217,20161217,,,,,,
2017-01-01,-3.12,1016.6,1015.6,1.18,12.5,0,0,15,9,1,7,3,0,12,4,0,0,15,2,20170109,20170108,20170107,,,,,,
2017-02-01,-1.81,1014.5,1013.6,2.26,12.3,0,0,4,4,0,7,1,0,17,1,0,0,9,4,20170209,20170210,20170209,,,,,,
2017-03-01,-5.44,1020.2,1019.4,0.9,14.8,0,0,12,7,2,8,2,0,16,3,0,0,10,2,20170305,20170316,20170314,,,,,,
2017-04-01,6.82,1016.8,1015.9,9.74,11.2,11,11,14,7,1,0,0,0,0,0,6,0,15,4,20170401,20170430,20170430,,,,,,
2017-05-01,10.08,1012.7,1011.8,12.74,11.6,48,36,11,6,3,0,0,0,0,0,10,1,13,3,20170508,20170531,20170531,,,,,,
2017-06-01,15.62,1013.8,1012.9,17.95,10.7,246,198,11,6,2,0,0,0,0,0,27,2,13,3,20170609,20170630,20170630,,,,,,
2017-07-01,19.52,1014.9,1014.1,21.28,9.6,601,354,11,7,1,0,0,0,0,0,31,5,12,,20170730,20170731,20170731,3,,,,,
2017-08-01,17.75,1017,1016.2,19.92,9.4,899,298,11,7,0,0,0,0,0,0,30,0,14,,20170830,20170831,20170831,7,,,,,
2017-09-01,14.78,1016.7,1015.8,17.43,10.5,1079,179,6,5,0,0,0,0,0,0,27,1,14,3,20170930,20170930,20170930,,,,,,
2017-10-01,12.07,1019.5,1018.7,14.51,11.4,1141,63,9,4,1,0,0,0,0,0,19,0,12,,20171017,20171031,20171031,2,,,,,
2017-11-01,2.28,1020.1,1019.2,5.79,11.6,1142,0,8,5,0,0,0,0,6,0,2,0,10,3,20171111,20171130,20171120,,,,,,
2017-12-01,-5.05,1018.7,1017.7,-0.46,12.8,1142,0,10,5,0,4,3,0,16,9,0,0,11,,20171231,20171210,20171209,,20171223,,,,
2018-01-01,-6.64,1022.4,1021.5,-2.48,13.4,0,0,8,6,0,10,2,0,26,11,0,0,10,5,20180107,20180108,20180104,,,,,,
2018-02-01,-1.34,1024.3,1022.9,2.12,10.5,0,0,17,11,2,1,1,0,13,1,0,0,21,7,20180203,20180218,20180217,,,,,,
2018-03-01,-3.43,1013.5,1012.6,1.18,15.4,0,0,11,5,2,5,3,0,19,0,0,0,10,2,20180317,20180322,20180321,,,,,,
2018-04-01,1.34,1015.9,1015.1,5.43,13.6,0,0,13,9,1,1,1,0,5,0,1,0,15,3,20180409,20180402,20180402,,,,,,
2018-05-01,12.15,1017.5,1016.7,14.38,9.4,51,51,12,10,0,0,0,0,0,0,16,0,17,9,20180501,20180531,20180531,,,,,,
2018-06-01,15.69,1014.1,1013.3,17.63,9.8,208,157,14,7,1,0,0,0,0,0,25,1,13,1,20180604,20180630,20180630,,,,,,
2018-07-01,19.95,1018.6,1017.6,21.55,10.5,561,352,11,8,1,0,0,0,0,0,31,2,13,1,20180708,20180731,20180731,,,,,,
2018-08-01,21.58,1016.5,1015.6,22.74,10.3,947,386,16,9,1,0,0,0,0,0,31,4,16,1,20180824,20180831,20180831,,,,,,
2018-09-01,18.8,1021.6,1020.8,19.77,9.6,1135,188,13,9,2,0,0,0,0,0,26,1,13,2,20180930,20180930,20180930,,,,,,
2018-10-01,9.73,1017.4,1016.6,12.16,12.1,1185,50,13,4,1,0,0,0,0,0,11,0,12,1,20181026,20181031,20181031,,,,,,
2018-11-01,1.72,1017.9,1017,4.92,13,1185,0,15,10,4,1,1,0,7,2,0,0,17,3,20181123,20181116,20181115,,,,,,
2018-12-01,-0.54,1019.5,1018.5,2.63,11.6,1185,0,13,8,3,0,0,0,17,0,0,0,15,5,20181219,20181231,20181213,,,,,,
2019-01-01,-6.09,1018.4,1017.4,-1.53,13.9,0,0,9,7,2,1,0,0,23,4,0,0,10,2,20190131,20190118,20190118,,,,,,
2019-02-01,-4.82,1021,1020.2,-0.38,12.5,0,0,11,7,0,2,2,0,20,3,0,0,16,3,20190201,20190221,20190220,,,,,,
2019-03-01,-2.87,1019.9,1019.2,1.78,13.2,0,0,9,8,0,5,2,0,14,1,0,0,9,,20190307,20190302,20190302,,20190310,,,,
2019-04-01,5.28,1016.3,1015.4,8.69,12.8,0,0,19,8,1,0,0,0,2,0,3,0,17,5,20190402,20190430,20190430,,,,,,
2019-05-01,11.71,1015,1014.2,13.39,10.5,34,34,21,14,3,0,0,0,0,0,13,0,17,6,20190513,20190531,20190531,,,,,,
2019-06-01,15.94,1013.4,1012.6,18.14,10.3,212,178,14,11,1,0,0,0,0,0,28,1,16,5,20190615,20190630,20190630,,,,,,
2019-07-01,20.92,1014.8,1014,22.52,9.4,639,427,9,4,2,0,0,0,0,0,31,5,11,,20190724,20190731,20190731,6,,,,,
2019-08-01,19.1,1015.1,1014.3,20.81,8.9,960,320,10,6,1,0,0,0,0,0,31,0,12,,20190827,20190831,20190831,10,,,,,
2019-09-01,15.9,1019.4,1018.6,17.85,9.8,1102,142,5,3,0,0,0,0,0,0,28,0,5,,20190919,20190930,20190930,2,,,,,
2019-10-01,11.46,1018,1017.3,13.52,12.5,1124,23,13,8,1,0,0,0,0,0,5,1,14,1,20191019,20191031,20191031,,,,,,
2019-11-01,-0.15,1019.2,1017.3,4.07,12.3,1124,0,9,3,0,0,0,0,9,0,0,0,7,,20191113,20191130,20191112,,20191124,,,,
2019-12-01,-0.75,1018.4,1017.4,1.96,12.3,1124,0,11,10,4,2,0,0,16,1,0,0,15,2,20191219,20191211,20191211,,,,,,
2020-01-01,-2.01,1020.5,1019.4,1.8,12.5,0,0,10,4,0,0,1,0,16,0,0,0,12,2,20200121,20200119,20200118,,,,,,
2020-02-01,-1.85,1016.8,1015.9,2.08,11.9,0,0,12,8,1,0,0,0,13,1,0,0,14,2,20200215,20200229,20200229,,,,,,
2020-03-01,1.22,1020.2,1019.3,5.14,12.5,0,0,12,6,2,0,0,0,3,0,2,0,12,3,20200301,20200331,20200323,,,,,,
2020-04-01,2.83,1011.8,1010.8,6.51,14.3,0,0,13,8,1,0,0,0,0,0,0,0,14,,20200412,20200430,20200423,3,,,,,
2020-05-01,7.88,1017.4,1016.4,11.18,11.6,13,13,12,4,0,0,0,0,0,0,13,0,14,7,20200509,20200531,20200509,,,,,,
2020-06-01,15.23,1015.6,1014.7,17.9,10.1,213,201,8,7,0,0,0,0,0,0,30,0,11,5,20200601,20200630,20200630,,,,,,
2020-07-01,20.45,1014,1013.2,22.34,9.8,656,443,11,6,2,0,0,0,0,0,31,10,13,,20200702,20200731,20200731,11,,,,,
2020-08-01,19.41,1014.4,1013.5,21.21,9.8,1005,349,14,8,0,0,0,0,0,0,31,2,15,1,20200831,20200831,20200831,,,,,,
2020-09-01,14.25,1018,1018.3,16.92,9.8,1141,136,9,5,1,0,0,0,0,0,27,0,11,,20200921,20200930,20200930,1,,,,,
2020-10-01,9.95,1019.5,1018.6,12.12,9.8,1147,6,13,8,3,0,0,0,1,0,8,0,15,5,20201031,20201031,20201031,,,,,,
2020-11-01,4.78,1021.2,1020.4,8.03,11.6,1147,0,9,8,1,0,0,0,2,0,3,0,14,2,20201119,20201130,20201130,,,,,,
2020-12-01,-1.9,1017.2,1016,1.72,13.2,1147,0,10,8,1,7,2,0,15,3,0,0,12,1,20201219,20201219,20201216,,,,,,
2021-01-01,-5.72,1016.1,1015.1,-0.89,12.8,0,0,9,5,0,0,0,0,22,2,0,0,10,1,20210130,20210129,20210131,,,,,,
2021-02-01,-4.89,1018.6,1017.6,-1.15,12.5,0,0,13,8,1,24,4,0,23,5,0,0,12,5,20210208,20210202,20210201,,,,,,
2021-03-01,-2.77,1020.8,1020,3.23,13.2,0,0,8,5,0,0,0,0,12,0,2,0,10,6,20210302,20210331,20210319,,,,,,
2021-04-01,2.43,1012.6,1011.8,7.33,11.9,0,0,11,5,0,0,0,0,2,0,3,0,10,2,20210402,20210430,20210402,,,,,,
2021-05-01,7.54,1018.4,1017.5,11.57,11.2,48,48,11,7,1,0,0,0,0,0,17,2,10,,20210501,20210531,20210531,3,,,,,
2021-06-01,16.06,1016.3,1015.4,18.29,10.5,245,196,7,4,0,0,0,0,0,0,29,3,10,3,20210601,20210630,20210630,,,,,,
2021-07-01,19.34,1014.9,1014.1,20.99,9.4,581,336,15,10,1,0,0,0,0,0,30,1,20,,20210731,20210731,20210731,14,,,,,
2021-08-01,19.78,1017.2,1016.3,21.52,9.2,950,369,10,6,2,0,0,0,0,0,31,4,9,,20210802,20210831,20210831,6,,,,,
2021-09-01,15.66,1016,1015.1,18.08,11,1129,178,8,6,1,0,0,0,0,0,29,0,10,,20210930,20210930,20210930,4,,,,,
2021-10-01,12.36,1014.9,1014.1,14.58,11,1162,33,11,7,1,0,0,0,0,0,17,0,15,,20211029,20211031,20211031,1,,,,,
2021-11-01,0.71,1019,1018.1,5.04,11.2,1162,0,8,3,0,0,0,0,3,0,0,0,4,,20211130,20211130,20211130,1,,,,,
2021-12-01,-0.27,1017.5,1016.5,3.79,10.7,1162,0,14,5,0,0,0,0,7,0,0,0,12,1,20211220,20211231,20211224,,,,,,
2022-01-01,-7.72,1018.5,1017.3,-2.83,13.4,0,0,10,9,1,6,3,0,27,10,0,0,10,3,20220116,20220130,20220129,,,,,,
2022-02-01,-4.5,1022.7,1021.9,0.01,13,0,0,9,9,0,6,1,0,22,4,0,0,11,4,20220206,20220201,20220213,,,,,,
2022-03-01,-1.19,1016.2,1015.4,3.65,13.2,0,0,11,4,0,0,0,0,12,0,0,0,13,6,20220304,20220331,20220312,,,,,,
2022-04-01,1.51,1016.2,1015.3,6.7,13.9,0,0,14,5,0,0,0,0,0,0,3,0,8,2,20220418,20220430,20220430,,,,,,
2022-05-01,10.13,1017.6,1016.8,13.03,10.5,52,52,10,7,1,0,0,0,0,0,18,1,16,7,20220501,20220531,20220531,,,,,,
2022-06-01,14.4,1014.8,1014,17.26,10.7,213,162,9,7,1,0,0,0,0,0,27,1,10,2,20220619,20220630,20220630,,,,,,
2022-07-01,18.45,1014.2,1013.4,21.12,10.5,656,443,7,4,0,0,0,0,0,0,31,9,3,,20220711,20220731,20220731,6,,,,,
2022-08-01,18.71,1015.9,1015.1,21.24,10.1,1081,425,7,3,0,0,0,0,0,0,31,5,3,,20220816,20220831,20220831,3,,,,,
2022-09-01,13.6,1016.3,1015.4,16.74,10.7,1262,181,8,4,0,0,0,0,0,0,27,0,7,,20220924,20220930,20220930,3,,,,,
2022-10-01,,,,,10.5,1266,4,12,8,2,0,0,0,0,0,5,0,14,2,20221030,20221031,20221031,3,20221004,20221007,38,,
2022-11-01,,,,,12.1,1273,7,10,6,0,0,0,0,3,0,6,0,9,1,20221121,20221130,20221118,,20221127,20221107,28,0,
2022-12-01,,,,,13.2,1273,0,10,9,0,0,0,0,18,3,0,0,12,2,20221224,20221212,20221224,,20221216,20221207,7,0,